epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
81,31353.7,0.13659,0.98872,1,0.03097,0.00208,0.00208,0.00208
82,31548.2,0.14855,0.98862,1,0.03081,0.001981,0.001981,0.001981
83,31743.7,0.13941,0.98903,1,0.0306,0.001882,0.001882,0.001882
84,31939.3,0.14778,0.98893,1,0.03019,0.001783,0.001783,0.001783
85,32135.2,0.14176,0.98934,1,0.0299,0.001684,0.001684,0.001684
86,32331.1,0.13453,0.98913,1,0.02966,0.001585,0.001585,0.001585
87,32526.2,0.13977,0.98923,1,0.02946,0.001486,0.001486,0.001486
88,32724.7,0.13659,0.98964,1,0.0293,0.001387,0.001387,0.001387
89,32923.9,0.13342,0.98975,1,0.02906,0.001288,0.001288,0.001288
90,33118.9,0.13527,0.98985,1,0.02888,0.001189,0.001189,0.001189
91,33313.5,0.12619,0.99005,1,0.02865,0.00109,0.00109,0.00109
92,33514.3,0.1284,0.99016,1,0.02836,0.000991,0.000991,0.000991
93,33708,0.11724,0.99036,1,0.02808,0.000892,0.000892,0.000892
94,33903.2,0.12665,0.99067,1,0.02779,0.000793,0.000793,0.000793
95,34099.5,0.12783,0.99077,1,0.02763,0.000694,0.000694,0.000694
96,34299.3,0.12784,0.99067,1,0.02741,0.000595,0.000595,0.000595
97,34519.1,0.12465,0.99057,1,0.02725,0.000496,0.000496,0.000496
98,34735,0.11319,0.99077,1,0.02703,0.000397,0.000397,0.000397
99,34947.6,0.1145,0.99108,1,0.02683,0.000298,0.000298,0.000298
100,35159.2,0.11154,0.99128,1,0.02667,0.000199,0.000199,0.000199
